course_id,title,last_updated,days_since_update
course_038,Course 38,2025-06-21,302
course_045,Course 45,2025-09-13,218
course_009,Course 9,2026-02-11,67
course_022,Course 22,2026-03-07,43
course_023,Course 23,2026-03-12,38
course_001,Course 1,2026-03-21,29
course_012,Course 12,2026-03-21,29
course_041,Course 41,2026-03-22,28
course_010,,2026-03-22,28
course_015,Course 15,2026-03-22,28
course_049,Course 49,2026-03-23,27
course_037,Course 37,2026-03-25,25
course_018,Course 18,2026-03-25,25
course_044,Course 44,2026-03-25,25
course_040,,2026-03-26,24
course_046,Course 46,2026-03-26,24
course_005,Course 5,2026-03-26,24
course_008,Course 8,2026-03-26,24
course_004,Course 4,2026-03-27,23
course_007,Course 7,2026-03-28,22
course_047,Course 47,2026-03-31,19
course_019,Course 19,2026-03-31,19
course_032,Course 32,2026-04-01,18
course_039,Course 39,2026-04-01,18
course_028,Course 28,2026-04-02,17
course_013,Course 13,2026-04-02,17
course_035,Course 35,2026-04-03,16
course_027,Course 27,2026-04-04,15
course_025,Course 25,2026-04-04,15
course_016,Course 16,2026-04-04,15
course_043,Course 43,2026-04-04,15
course_036,Course 36,2026-04-05,14
course_042,Course 42,2026-04-06,13
course_026,Course 26,2026-04-07,12
course_017,Course 17,2026-04-07,12
course_011,Course 11,2026-04-07,12
course_014,Course 14,2026-04-09,10
course_020,,2026-04-10,9
course_029,Course 29,2026-04-11,8
course_002,Course 2,2026-04-11,8
course_006,Course 6,2026-04-11,8
course_003,Course 3,2026-04-12,7
course_050,,2026-04-12,7
course_030,,2026-04-13,6
course_034,Course 34,2026-04-15,4
course_031,Course 31,2026-04-15,4
course_021,Course 21,2026-04-15,4
course_048,Course 48,2026-04-16,3
course_033,Course 33,2026-04-17,2
course_024,Course 24,2026-04-17,2
